问题,A,B,C,D,答案
"75、在我国法律体系中,居于核心地位、具有最高法律效力的是(   )。",《中华人民共和国刑法》,《中华人民共和国宪法》,《中华人民共和国立法法》,《中华人民共和国民法通则》,： B
76、（）联通了“中国梦”与“亚洲梦”、 “欧洲梦”、“非洲梦”。,中俄联盟,新型外交观,“亲诚惠容”外交新理念   ,“一带一路”,： D
"77、依照我国现行宪法的规定, 制定和修改基本法律的国家机关是(   )。",全国人民代表大会,全国人民代表大会常务委员会,全国人民代表大会法律委员会,最高人民法院,： A
78、中国人民在长期奋斗中培育.继承.发展起来的伟大民族精神为中国发展和(  )提供了强大精神动力,科技进步,制度完善化,人民富裕,人类文明进步,： D
79、(   )是我国现代化建设的战略任务，只有把它搞上去了，经济建设才能有更加坚强的安全保障。,社会建设,科技建设,文化建设,国防建设,： D
"80、正确对待中华民族道德传统,要坚持(   )的立场、观点和方法。",马克思主义,唯物主义,批判与继承,社会主义,： A
81、坚持和发展中国特色社会主义、实现中华民族的伟大复兴，最根本的力量在（）。,工人,青年,人民,大学生,： C
82、履行好政府(   )调节职能，加快推进基本公共服务均等化，缩小收入分配差距。,初次分配,再分配,税收,财政,： B
83、1935年10月，中央红军结束长征并同红十五军团胜利会师于 ( ),陕北吴起镇,西康甘孜地区,甘肃会宁、静宁,四川懋功地区,： A
84、党在新时代的强军目标是力争到(   )年基本实现国防和军队现代化，到本世纪中叶把人民军队全面建成世界一流军队。,2020,2035,2050,2030,： B
85、在新的历史时期，大学生应该继续坚持以振兴中华为己任，努力做到（） 。,增强个性,立报国之志、增建国之才、践爱国之行,掌握书本知识,增强家庭发展观念,： B
86、在当代中国，坚持发展是硬道理的本质要求，就是坚持(   )。,科学发展,协调发展,可持续发展,全面发展,： A
87、社会主义制度在中国确立的主要标志是 ( ),国民经济的恢复,中华人民共和国的成立,全国大陆的统一,社会主义改造的基本完成,： D
88、中国共产党党内斗争的方针是  ( ),批评与自我批评,坦白从宽，抗拒从严,严厉打击犯错误的人,惩前毖后，治病救人,： D
89、在新民主主义的经济纲领中，包含着新民主主义革命和社会主义革命双重性质的内容是(   )。,没收封建地主阶级的土地,土地革命路线,没收官僚资本,保护民族工商业,： C
90、遵义会议后，中共中央政治局成立的三人军事指挥小组成员是(  ),毛泽东、周恩来、朱德,毛泽东、周恩来、张闻天,毛泽东、周恩来、王稼祥,毛泽东、周恩来、邓小平,： C
91、习近平指出，中华民族近代以来最伟大的梦想是(   )。,实现共同富裕,推翻三座大山,建成小康社会,实现中华民族伟大复兴,： D
92、新民主主义国家的政体是(   )。,政治协商会议制度,共产党领导的多党合作制度,人民代表大会制度,参议会制度,： C
93、保障就业和民生，必须稳住（）市场主体，尽力帮助企业特别是中小微企业、个体工商户渡过难关。,上亿,上万,上千,千万,： A
94、非公有制经济是(   )。,我国社会主义经济结构的重要组成部分,我国社会主义市场经济的重要组成部分,我国经济结构的重要成分,我国社会主义市场经济的主要组成部分,： B
95、发展开放型经济，必须大力发展(   )。,服务贸易,自由贸易,进口贸易,出口贸易,： A
96、民族精神的核心是,集体主义,爱国主义,爱好和平,勤劳勇敢,： B
"97、下列公民基本权利中,属于监督权利的是(   )。",通信自由,受教育权利,批评建议权,宗教信仰自由,： C
98、民法调整 (   )公民之间、法人之间及公民和法人之间的财产关系、人身关系,平等主体的,一切,处于管理和被管理关系中的,平等主体之间的和不平等主体之间的,： A
"99、毛泽东认为， ( ) 是一个""开天辟地的大事变""",五四运动,十月革命,中国共产党的成立,第一次国共合作,： C
100、民法调整 (   )公民之间、法人之间及公民和法人之间的财产关系、人身关系,平等主体的,一切,处于管理和被管理关系中的,平等主体之间的和不平等主体之间的,： A
101、社会主义基本经济制度需要随着（）发展不断完善。,社会文化,精神文明,物质社会,社会实践,： D
102、人民是中国梦的(   )，是中国梦的创造者和享有者。,主体,客体,组织者,参与者,： A
103、截止到2020年2月15号，已经有100人为抗击疫情献出了生命，其中（）是共产党员。,50%,60%,70%,80%,： C
104、全面建成小康社会，“小康”讲的是(   )。,经济发展,收入增加,文化素质提高,发展水平,： D
105、在“一带一路”建设中，要加强旅游合作，提高沿线各国游客（）便利化水平。,出入境,签证,居住,通关,： B
106、抗日战争爆发后中共建立的第一个敌后抗日根据地是 ( ),晋察冀根据地,晋绥根据地,冀鲁豫根据地,苏南根据地,： A
"107、在新的历史条件下形成和发展的,体现民族特质、顺应时代潮流的思想观念、行为方式、价值取向、精神风貌和社会风尚的总和,指的是(   )。",人文精神,科学精神,民主精神,时代精神,： D
108、2020年政府工作报告指出，做好今年政府工作，要坚决贯彻党的基本理论、基本路线、基本方略，增强“四个意识”、坚定（）、做到“两个维护”，紧扣（）目标任务，统筹推进疫情防控和经济社会发展工作。,“四个自信”；全面建成小康社会 ,“四个自信”；全面打赢脱贫攻坚战 ,反“四风”；全面建成小康社会 ,反“四风”；全面打赢脱贫攻坚战,： A
109、旗帜鲜明（）是我们党作为马克思主义政党的根本要求。,讲正气,讲政治,讲纪律,讲规矩,： B
110、1927年7月15日， ( ) 在武汉召开分共会议，标志着第一次国共合作的全面破裂,胡汉民,蒋介石,吴稚晖,汪精卫,： D
111、新中国成立初期开展的镇压反革命运动的政策是(  ),知无不言，言者无罪,镇压与宽大相结合,惩前毖后，治病救人,坦白从宽，抗拒从严,： B
112、习近平总书记指出，对一些地方的贫困群众，如大小梁山独龙族，要坚持（），说起来容易，但有一个过程，一定要保持耐心。,扶贫先扶学,扶贫先扶业,扶贫先扶智,扶贫先扶志,： D
113、坚持和完善反腐败领导体制和工作机制，认真落实(   )，形成防止和惩治腐败的合力。,党风廉政建设责任制,三讲教育,腐败教育,各项监督,： A
114、中国共产党在领导人民革命的过程中，积累了丰富的经验，武装斗争就是战胜敌人的重要法宝之一，其实质是(   )。,无产阶级的反帝国主义战争,资产阶级领导的反封建战争,工农联合的反军阀战争,工人阶级领导的农民战争,： D
115、（）是中国共产党领导的多党合作和政治协商的重要机构，也是中国人民爱国统一战线组织。,国务院,全国人民代表大会,全国人民代表大会常委会,中国人民政治协商会议,： D
116、“两个一百年”奋斗目标是指,"第一个一百年,是到中国共产党成立100年时全面建成小康社会;第二个一百年,是到建军一百年成为世界第一强大国家。","第一个一百年,是到新中国成立100年时建成富强、民主、文明、和谐的社会主义现代化国家;第二个一百年,是改革开放一百年成为世界强国。","第一个一百年,是改革开放一百年成为世界强国;第二个一百年,是到建军一百年成为世界第一强大国家。","第一个一百年,是到中国共产党成立100年时全面建成小康社会;第二个一百年,是到新中国成立100年时建成富强、民主、文明、和谐的社会主义现代化国家。",： D
117、贯彻“三个代表”要求，关键在坚持与时俱进，核心在保持党的先进性，本质在坚持(   )。,科学发展观,以人为本,执政为民,立党为公,： C
118、宪法规定，国家建立健全同经济发展水平（）的社会保障制度。,相协调,相促进,相适应,同发展,： C
119、从现实依据看，坚持中国共产党的领导、坚定不移走（），是实现中国人民对美好生活向往和中华民族伟大复兴的中国梦的根本保证。,中国特色社会主义道路,共产主义道路,资本主义道路,苏联模式道路,： A
120、中国具有强大的社会动员能力在政治制度层面最重要的原因是（）。,中国共产党的坚强领导,坚持依法治国,坚持人民当家做主,坚持全国一盘棋,： A
121、使市场在资源配置中发挥决定性作用，主要涉及（），但必然会影响到政治、文化、社会、生态文明和党的建设等各个领域。,社会主义建设,城镇化水平,经济体制改革,贫富差距,： C
"122、《反国家分裂法》的制定和实施,把我们关于解决台湾问题的大政方针(   )。",政治化,法律化,制度化,科学化,： B
123、如何增强国家安全意识,人治,道德,法规,文明,： B
"124、(  )根植于中华大地,深深地印在中国人的民族意识中,是中华民族的立身之本。",团结统一,爱好和平,自强不息,勤劳勇敢,： A
"125、根据我国宪法的规定,狭义的人身自由主要指(   )。",公民的身体不受非法侵犯,公民的自由不受非法侵犯,公民的身体不受侵犯,公民的自由不受侵犯,： A
126、（）是做好疫情防控工作的政治保证。,党的集中统一领导,群防群控,广大党员干部众志成城,广大百姓的万众一心,： A
127、党的十八大提出建设中国特色社会主义的总体布局是(   ),“两手抓”,“三位一体”,“四位一体”,“五位一体”,： D
128、党的十九大对全面推进国防和军队现代化作出新的战略安排:到(   )年，基本实现国防和军队现代化。,2020,2035,2050,本世纪中叶,： B
129、始终代表中国最广大人民的根本利益，强调以人民群众的利益、要求和实践为最高价值标准和评价标准，体现了我们党的(   )和我们国家的(   )。,宗旨、性质,目标、追求,价值观、宗旨,水平、体制,： A
130、1954 年 9 月，《中华人民共和国宪法》第一条规定：“中华人民共和国是工人阶级领导的、以工农联盟为基础的（）。”,社会主义国家,资本主义国家,人民民主国家,新民主主义国家,： C
131、中共一大召开的时间是 ( ),1920-7-1,1922-7-1,1921-7-23,1921-7-1,： C
"132、中国革命在20世纪20年代出现了以(  )为代表的""左""倾盲动错误，给革命事业带来了较大的损失。",瞿秋白,张国焘,王明,李立三,： A
133、党对军队绝对领导的根本原则和制度，发端于(   )，是人民军队完全区别于一切旧军队的政治特质和根本优势。,三湾改编,南昌起义,古田会议,遵义会议,： B
134、1947年12月，毛泽东提出新民主主义革命三大经济纲领的报告是 ( ),《论联合政府》,《以自卫战争粉碎国民党的进攻》,《关于目前国际形势的几点估计》,《目前形势和我们的任务》,： D
135、成为第一次国共合作的政治基础和革命统一战线的共同纲领是 ( ),《孙文越飞宣言》,旧三民主义,中国共产党的最低纲领,新三民主义,： D
136、（）是“两个一百年”奋斗目标的第一个百年奋斗目标，是实现中华民族伟大复兴中国梦的关键一步。,坚决打赢脱贫攻坚战,全面建成小康社会,完成三大攻坚战任务,实现共同富裕,： B
137、政府工作报告在回顾2019年和今年以来工作时指出，加强党风廉政建设，扎实开展（）主题教育，严格落实中央八项规定精神，持续纠治“四风”，为基层松绑减负。,“两学一做”     ,“不忘初心、牢记使命”,“三严三实” ,“红色基因,： B
"138、1947年被国民党宣布为""非法团体""而取缔的民主党派是  ( )",中国民主促进会,中国民主建国会,民盟,九三学社,： C
139、第一次国共合作的党内合作方式的提出者是 ( ),马林,孙中山,陈独秀,维津斯基,： A
140、党的（）提出，在中国共产党成立一百年时全面建成小康社会，在新中国成立一百年时建成富强民主文明和谐的社会主义现代化强国。,十七大,十八大,十九大,十五大,： B
"141、中国共产党历史上有""南陈北李，相约建党""的说法，其中""陈""、""李""分别指 ( )",陈独秀 李达,陈独秀 李大钊,陈潭秋 李大钊,陈潭秋 李达,： B
142、建国初期，中国共产党对私营工商业的生产关系、劳资关系和产销关系进行全面调整的原则是 ( ),"""统购统销""","""公私兼顾、劳资两利""","""消灭资本主义""","""经销代销""",： B
143、检验经济体制和政治体制改革搞得好不好的标准归根到底在于(   )。,资产阶级自由化，思潮是否没有市场,政治局面是否稳定,人民内部矛盾是否得到解决.,是否有利于迅速发展社会生产,： D
144、习近平强军思想深刻回答了(   )的时代课题。,新时代建设一支什么样的强大人民军队、怎样建设强大人民军队,军队建设与发展,党指挥枪,军队中的改革,： A
145、改革开放之初，首先用“小康”来诠释中国式现代化的是（）。,毛泽东,邓小平,周恩来,刘少奇,： B
146、2020年，我国将实现全面建成小康社会的目标。这一目标的出发点和落脚点是（）。,提高人民的生活水平和质量,解放和发展生产力,提高国家整体经济实力,显示社会主义制度的优越性,： A
147、（）是爱国主义精神最坚定的弘扬者和实践者，始终把实现中华民族伟大复兴作为自己的历史使命，领导全国各族人民奋力推进中国特色社会主义伟大事业。,中国青年,中国共产党,工人阶级,广大农民,： B
148、(   )会议确立了毛泽东在全党的实际领导地位。,八七会议,中共七大,遵义会议,党的六届六中全会,： C
149、中共七届二中全会需要解决的重要问题是( ),如何解决民主革命遗留的任务的问题,如何夺取全国革命胜利,民主革命向社会主义革命转变的问题,党的工作重心转移问题,： D
150、1951年8月中央人民政府公布实施 ( ) ，对自治区的建立、自治机关、自治权利、区内民族关系等作了系统规定。,《中华人民共和国民族区域自治实施纲要》,《和平解放西藏办法的协议》,《中华人民共和国民族区域自治法》,《中华人民共和国民族政策纲领》,： A
151、党的十九大提出：从2020年到2035年，在全面建成小康社会的基础上，再奋斗15年，（）。,实现社会主义现代化,建成社会主义现代化强国,实现中华民族伟大复兴,基本实现社会主义现代化,： D
152、习近平新时代中国特色社会主义思想的核心要义是(   )。,坚持四项基本原则,以经济建设为中心,坚持和发展中国特色社会主义,坚持改革开放,： C
153、1925年召开的中国共产党第四次全国代表大会的中心议题是 ( ),建立统一战线的问题,如何领导即将到来的革命高潮,共产党员、共青团员以个人身份加入中国国民党,强调同资产阶级争夺领导权,： B
154、党的干部是党和国家事业的中坚力量，党坚持党管干部原则，坚持正确选人用人导向，突出(   )，提拔重用忠诚干净担当的干部。,经济导向,文化素质,道德水平,政治标准,： D
155、党的十九届四中全会指出，党和人民在长期实践探索中形成的科学制度体系是指（）。,中国特色社会主义制度,人民代表大会制度,多党合作和政治协商制度,民族区域自治制度,： A
156、“两个一百年”奋斗目标是指,"第一个一百年,是到中国共产党成立100年时全面建成小康社会;第二个一百年,是到建军一百年成为世界第一强大国家。","第一个一百年,是到新中国成立100年时建成富强、民主、文明、和谐的社会主义现代化国家;第二个一百年,是改革开放一百年成为世界强国。","第一个一百年,是改革开放一百年成为世界强国;第二个一百年,是到建军一百年成为世界第一强大国家。","第一个一百年,是到中国共产党成立100年时全面建成小康社会;第二个一百年,是到新中国成立100年时建成富强、民主、文明、和谐的社会主义现代化国家。",： D
157、《资政新篇》较之《天朝田亩制度》更具有历史的进步性，主要是指它： ( ),明确提出要以法治国，由公众选举官吏,更加鲜明地提出不许外邦人干涉中国内政,促使中国近代第一次思想解放潮流的发生,主张学习西方，最早提出在中国发展资本主义的方案,： D
"158、下列有关张学良""东北易帜""的叙述， 不正确的是 ( )",是在国仇家恨的背景下进行的,使国民政府形式上统一了中国,结束了北洋军阀在全国的统治,使东北由独立到重新回归祖国,： D
159、李鸿章是中国近代史上的一个重要人物，他镇压了太平军和捻军起义，签订了《中法新约》《中日马关条约》和《辛丑条约》等一系列不平等条约，在许多方面负有不可推卸的责任但李鸿章仍有值得肯定之处，其中最为典型的是  ( ),是洋务运动的主要实践者,与顽固派进行辩论,"掀起""向西方学习""的新思潮",率兵收复新疆,： A
160、中国共产党正式决定与国民党实行合作的方针和办法是在 ( ),党的一大上,党的二大上,党的三大上,党的四大上,： C
161、中国工人阶级第一次直接同帝国主义势力进行的有组织较量是( ),安源路矿工人大罢工,省港大罢工,京汉铁路工人大罢工,香港海员罢工,： D
162、党的十三大报告提出党在社会主义初级阶段的(   )。,基本路线,基本纲领,基本方针,基本政策,： A
163、坚持党的领导，首先是坚持(  )的集中统一领导。,党委,党组织,党中央,全国人民代表大会,： C
164、维新派创办的影响最大的报纸是 ( ),时务报,新民丛报,国闻报,湘报,：A
165、对资本主义工商业实行社会主义改造，使资本主义所有制过渡到社会主义公有制具有决定意义的重大步骤是(   )。,委托加工,计划订货,统购包销,全行业公私合营,： D
166、中国共产党的第八次全国代表大会是在(   )年召开的。,一九四五,一九四九,一九五六,一九六六,： C
167、社会主义的根本任务是(   )。,改革生产资料所有制,解放生产力，发展生产力,进行阶级斗争,进行政治体制改革、经济体制改革,： B
168、《共产党宣言》问世于(   )。,1842年,1748年,1848年,1742年,： C
169、中国特色社会主义事业的总体布局是（）。,顶层设计、科学统筹,“一带一路”,四个全面,五位一体,： D
"170、当代中国,建设中国特色社会主义是我们共同的理想信念,它的基本内容是在中国共产党领导下,走中国特色社会主义道路,实现(   )。",大同世界,小康社会,和谐社会,中华民族伟大复兴,： D
171、中国共产党 ( ) 将毛泽东思想规定为中国共产党的一切工作的指针。,七届二中全会,第七次全国代表大会,六届六中全会,六届七中全会,： B
172、1925年，以( )为起点，掀起了全国范围的大革命高潮,五卅运动,省港大罢工,香港海员大罢工,京汉铁路工人大罢工,： A
173、马克思主义理论最根本的本质属性是(   )。,科学性,革命性,实践性,与时俱进,： A
174、《共产党宣言》问世于(   )。,1842年,1748年,1848年,1742年,： C
